Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HY,AY,HR,AR
2020-01-07,Fulham,Tottenham,1,1,D,0,0,D,M Dean,9,9,3,4,14,16,3,2,1,0
2020-01-07,Liverpool,Chelsea,2,0,H,2,0,H,R Styles,17,11,8,3,10,17,0,1,0,0
2020-01-07,Man City,Blackburn,0,3,A,0,1,A,P Dowd,13,12,9,5,14,11,1,3,0,0
2020-01-07,Middlesbrough,Bolton,5,1,H,4,1,H,A Wiley,10,11,5,5,12,13,1,3,0,1
2020-01-07,Newcastle,West Ham,2,2,D,1,2,A,U Rennie,14,12,7,7,16,26,3,4,0,0
2020-01-07,Portsmouth,Charlton,0,1,A,0,0,D,M Clattenburg,9,8,3,5,9,11,0,3,0,0
2020-01-07,Reading,Sheffield United,3,1,H,1,0,H,M Halsey,17,4,10,1,12,8,1,1,0,1
2021-01-07,Arsenal,Man United,2,1,H,0,0,D,S Bennett,18,10,11,6,13,11,1,3,0,0
2021-01-07,Wigan,Everton,0,2,A,0,0,D,H Webb,13,8,6,5,11,17,0,1,0,0
2023-01-07,Watford,Blackburn,2,1,H,1,1,D,D Gallagher,15,15,7,3,14,7,2,0,0,0
1930-01-07,Portsmouth,Middlesbrough,0,0,D,0,0,D,D Gallagher,15,3,4,3,10,10,0,1,0,0
1930-01-07,Reading,Wigan,3,2,H,1,1,D,S Bennett,19,21,12,14,11,11,1,1,0,0
1930-01-07,Sheffield United,Fulham,2,0,H,2,0,H,L Mason,16,7,8,0,14,10,1,1,0,0
1930-01-07,West Ham,Liverpool,1,2,A,0,0,D,M Atkinson,13,15,6,9,11,8,1,1,0,0
1931-01-07,Bolton,Charlton,1,1,D,1,1,D,L Probert,12,4,7,2,7,11,0,1,0,0
1931-01-07,Chelsea,Blackburn,3,0,H,1,0,H,G Poll,18,6,15,4,12,11,0,1,0,0
1931-01-07,Man United,Watford,4,0,H,1,0,H,M Dean,21,2,10,1,11,11,2,2,0,0
1931-01-07,Newcastle,Aston Villa,3,1,H,2,1,H,H Webb,8,14,4,9,15,15,1,1,0,0
2003-02-07,Aston Villa,West Ham,1,0,H,1,0,H,C Foy,17,7,6,2,13,21,0,1,0,0
2003-02-07,Blackburn,Sheffield United,2,1,H,1,1,D,A Marriner,11,11,6,5,18,19,1,4,1,0
2003-02-07,Charlton,Chelsea,0,1,A,0,1,A,M Halsey,8,17,5,8,7,8,0,1,0,0
2003-02-07,Fulham,Newcastle,2,1,H,0,0,D,P Dowd,15,8,9,4,12,13,1,3,0,0
2003-02-07,Liverpool,Everton,0,0,D,0,0,D,A Wiley,25,6,10,4,13,18,0,3,0,0
2003-02-07,Man City,Reading,0,2,A,0,0,D,H Webb,16,7,7,3,12,13,0,0,0,0
2003-02-07,Middlesbrough,Arsenal,1,1,D,0,0,D,M Riley,3,11,1,4,14,5,2,1,0,1
2003-02-07,Watford,Bolton,0,1,A,0,0,D,R Styles,7,7,3,4,8,9,0,3,0,0
2003-02-07,Wigan,Portsmouth,1,0,H,0,0,D,G Poll,15,5,8,4,10,8,1,0,0,0
2004-02-07,Tottenham,Man United,0,4,A,0,1,A,M Clattenburg,10,12,5,7,8,16,2,3,0,0
2010-02-07,Chelsea,Middlesbrough,3,0,H,1,0,H,C Foy,15,3,5,0,6,11,0,1,0,0
2010-02-07,Everton,Blackburn,1,0,H,1,0,H,R Styles,15,8,8,4,15,13,2,1,0,0
2010-02-07,Man United,Charlton,2,0,H,1,0,H,M Riley,18,8,11,2,11,8,0,1,0,0
2010-02-07,Newcastle,Liverpool,2,1,H,1,1,D,M Halsey,7,13,3,9,9,14,1,1,0,0
2010-02-07,Portsmouth,Man City,2,1,H,1,0,H,M Dean,17,6,10,3,12,12,3,3,0,0
2010-02-07,Reading,Aston Villa,2,0,H,1,0,H,M Clattenburg,12,17,9,7,13,11,2,1,0,0
2010-02-07,Sheffield United,Tottenham,2,1,H,1,1,D,M Atkinson,16,6,5,1,14,11,3,5,0,0
2010-02-07,West Ham,Watford,0,1,A,0,1,A,A Wiley,23,8,10,5,17,23,4,2,0,0
2011-02-07,Arsenal,Wigan,2,1,H,0,1,A,P Dowd,10,8,3,2,9,15,6,3,0,0
2011-02-07,Bolton,Fulham,2,1,H,1,0,H,H Webb,7,7,4,6,14,11,1,4,0,0
2021-02-07,Everton,Tottenham,1,2,A,1,1,D,U Rennie,10,8,3,4,7,14,2,1,0,0
2021-02-07,Watford,Wigan,1,1,D,1,1,D,R Styles,10,16,6,13,11,11,1,1,0,1
2024-02-07,Charlton,West Ham,4,0,H,3,0,H,R Styles,12,11,5,8,13,7,3,2,0,0
2024-02-07,Fulham,Man United,1,2,A,1,1,D,P Walton,16,16,6,8,16,12,3,2,0,0
